"Story","Title","Result","Date","Stability","Duration (s)"
"Add product to cart Alkosto","Add product success to cart","PENDING","2023-11-17T11:13:23.1905795-05:00[America/Bogota]","0.0","0.39"
"Add product to cart Alkosto","Add product success to cart","SUCCESS","2024-01-24T16:31:16.5787628-05:00[America/Bogota]","0.0","37.98"
