"Story","Title","Result","Date","Stability","Duration (s)"
"Add product to cart Alkosto","Add product success to cart","PENDING","2023-11-17T11:13:23.1905795-05:00[America/Bogota]","0.0","0.39"
"Add product to cart Alkosto","Add product success to cart","ERROR","2024-01-24T16:40:27.4050174-05:00[America/Bogota]","0.0","40.38"
